iter	Passed	Remaining
771	6822	2014
772	6831	2006
773	6840	1997
774	6849	1988
775	6857	1979
776	6866	1970
777	6875	1961
778	6882	1952
779	6891	1943
780	6898	1934
781	6906	1925
782	6916	1916
783	6927	1908
784	6934	1899
785	6943	1890
786	6951	1881
787	6960	1872
788	6969	1863
789	6978	1854
790	6988	1846
791	6997	1837
792	7005	1828
793	7014	1819
794	7024	1811
795	7033	1802
796	7042	1793
797	7049	1784
798	7057	1775
799	7065	1766
800	7076	1758
801	7085	1749
802	7093	1740
803	7100	1730
804	7108	1721
805	7115	1712
806	7123	1703
807	7130	1694
808	7138	1685
809	7145	1676
810	7153	1667
811	7160	1657
812	7168	1648
813	7178	1640
814	7188	1631
815	7195	1622
816	7203	1613
817	7210	1604
818	7218	1595
819	7227	1586
820	7238	1578
821	7246	1569
822	7253	1560
823	7260	1550
824	7268	1541
825	7275	1532
826	7283	1523
827	7292	1514
828	7300	1505
829	7307	1496
830	7315	1487
831	7322	1478
832	7329	1469
833	7337	1460
834	7344	1451
835	7352	1442
836	7359	1433
837	7367	1424
838	7374	1415
839	7384	1406
840	7395	1398
841	7403	1389
842	7411	1380
843	7419	1371
844	7427	1362
845	7435	1353
846	7443	1344
847	7450	1335
848	7458	1326
849	7466	1317
850	7475	1308
851	7485	1300
852	7494	1291
853	7503	1282
854	7513	1274
855	7522	1265
856	7532	1256
857	7547	1249
858	7556	1240
859	7566	1231
860	7574	1222
861	7583	1214
862	7590	1204
863	7598	1196
864	7605	1187
865	7613	1178
866	7620	1169
867	7629	1160
868	7636	1151
869	7645	1142
870	7652	1133
871	7659	1124
872	7666	1115
873	7674	1106
874	7682	1097
875	7692	1088
876	7702	1080
877	7710	1071
878	7717	1062
879	7725	1053
880	7732	1044
881	7739	1035
882	7747	1026
883	7754	1017
884	7763	1008
885	7770	999
886	7779	991
887	7786	982
888	7794	973
889	7802	964
890	7810	955
891	7817	946
892	7825	937
893	7832	928
894	7840	919
895	7851	911
896	7862	902
897	7870	893
898	7879	885
899	7886	876
900	7894	867
901	7901	858
902	7909	849
903	7916	840
904	7925	831
905	7933	823
906	7941	814
907	7949	805
908	7957	796
909	7964	787
910	7972	778
911	7980	770
912	7988	761
913	7996	752
914	8008	743
915	8015	735
916	8023	726
917	8030	717
918	8038	708
919	8045	699
920	8053	690
921	8060	681
922	8068	673
923	8076	664
924	8083	655
925	8091	646
926	8099	637
927	8106	628
928	8113	620
929	8121	611
930	8128	602
931	8136	593
932	8143	584
933	8152	576
934	8162	567
935	8170	558
936	8178	549
937	8186	541
938	8193	532
939	8201	523
940	8208	514
941	8215	505
942	8223	497
943	8230	488
944	8239	479
945	8246	470
946	8254	461
947	8261	453
948	8269	444
949	8276	435
950	8284	426
951	8291	418
952	8298	409
953	8309	400
954	8320	392
955	8327	383
956	8335	374
957	8342	365
958	8350	357
959	8357	348
960	8365	339
961	8373	330
962	8380	322
963	8388	313
964	8395	304
965	8403	295
966	8410	287
967	8418	278
968	8425	269
969	8433	260
970	8440	252
971	8447	243
972	8454	234
973	8473	226
974	8482	217
975	8491	208
976	8500	200
977	8508	191
978	8516	182
979	8523	173
980	8532	165
981	8541	156
982	8550	147
983	8558	139
984	8567	130
985	8576	121
986	8584	113
987	8592	104
988	8599	95
989	8606	86
990	8614	78
991	8625	69
992	8636	60
993	8644	52
994	8652	43
995	8660	34
996	8668	26
997	8676	17
998	8685	8
999	8693	0
